"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Handlebars", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\configuration\entities\language_user.entity.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 3, 10, 38
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\database\migrations\1695871508589-first_migration.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\database\migrations\1696128441341-first_migration.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 5, 19
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\dto\create-inappropriate-content.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\dto\update-inappropriate-content.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\entities\inappropriate-content.entity.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 7, 27
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.controller.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 9, 44
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\inappropriate-content\inappropriate-content.service.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 13, 78
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\dto\create-interest.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\dto\update-interest.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\entities\interest.entity.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 7, 26
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.controller.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 7, 42
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2-2023\SOFTWARE 1\PROYECTO_DE_LA_MATERIA\PICSPEAK\nuevo\picSpeak-api\src\interest\interest.service.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 14, 79
